ROI_ID,Decision,Conf,Label,Alt_1,Alt_2,Notes,Timestamp
140,Not Sure,3,AVAR,,,,2025-12-19T09:40:58.381863
221,Not Sure,3,AVAL,,,,2025-12-19T09:41:00.583085
140,Yes,3,AVAR,,,2025-12-19T09:45:15.138795
221,Yes,3,AVAL,,,2025-12-19T09:45:21.818793
74,Yes,4,AVAL,,,2025-12-19T09:45:35.508442
